Accepted Symbol,Scientific Name,Common Name
MONU,Monolepis nuttalliana (Schult.) Greene,Nuttall's povertyweed
MOPU3,Monolepis pusilla Torr. ex S. Watson,small povertyweed
MOCH,Montia chamissoi (Ledeb. ex Spreng.) Greene,water minerslettuce
MOLI4,Montia linearis (Douglas ex Hook.) Greene,narrowleaf minerslettuce
MUAN,Muhlenbergia andina (Nutt.) Hitchc.,foxtail muhly
MUAS,Muhlenbergia asperifolia (Nees & Meyen ex Trin.) Parodi,scratchgrass
MUCU3,Muhlenbergia cuspidata (Torr. ex Hook.) Rydb.,plains muhly
MUFI,Muhlenbergia filiculmis Vasey,slimstem muhly
MUFI2,Muhlenbergia filiformis (Thurb. ex S. Watson) Rydb.,pullup muhly
MUGL3,Muhlenbergia glomerata (Willd.) Trin.,spiked muhly
MUME2,Muhlenbergia mexicana (L.) Trin.,Mexican muhly
MUMI2,Muhlenbergia minutissima (Steud.) Swallen,annual muhly
MUMO,Muhlenbergia montana (Nutt.) Hitchc.,mountain muhly
MUPU2,Muhlenbergia pungens Thurb.,sandhill muhly
MURA,"Muhlenbergia racemosa (Michx.) Britton, Sterns & Poggenb.",marsh muhly
MURI,Muhlenbergia richardsonis (Trin.) Rydb.,mat muhly
MUTO2,Muhlenbergia torreyi (Kunth) Hitchc. ex Bush,ring muhly
MUSQ3,Munroa squarrosa (Nutt.) Torr.,false buffalograss
MUDI,Musineon divaricatum (Pursh) Raf.,leafy wildparsley
MUDID,Musineon divaricatum (Pursh) Raf. var. divaricatum ,leafy wildparsley
MUDIH,Musineon divaricatum (Pursh) Raf. var. hookeri (Torr. & A. Gray) Mathias,Hooker's wildparsley
MUTE3,Musineon tenuifolium (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,slender wildparsley
MUVA,Musineon vaginatum Rydb.,sheathed wildparsley
MYAR,Myosotis arvensis (L.) Hill,field forget-me-not
MYAS2,Myosotis asiatica (Vesterg.) Schischkin & Sergievskaja,Asian forget-me-not
MYST2,Myosotis stricta Link ex Roem. & Schult.,strict forget-me-not
MYSY,Myosotis sylvatica Ehrh.,woodland forget-me-not
MYAP,Myosurus apetalus C. Gay,bristly mousetail
MYAPB,Myosurus apetalus C. Gay var. borealis Whittemore,bristly mousetail
MYAPM,Myosurus apetalus C. Gay var. montanus (G.R. Campb.) Whitemore,bristly mousetail
MYQU,Myriophyllum quitense Kunth,Andean watermilfoil
MYSI,Myriophyllum sibiricum Kom.,shortspike watermilfoil
NADE2,Nama densum Lemmon,leafy nama
NADEP,Nama densum Lemmon var. parviflorum (Greenm.) C.L. Hitchc.,leafy fiddleleaf
NAVI4,Nassella viridula (Trin.) Barkworth,green needlegrass
NABR,Navarretia breweri (A. Gray) Greene,Brewer's navarretia
NAFU,Navarretia furnissii L.A. Johnson & L.M. Chan,Furniss' pincushionplant
NAIN2,Navarretia intertexta (Benth.) Hook.,needleleaf navarretia
NAINP3,Navarretia intertexta (Benth.) Hook. ssp. propinqua (Suksd.) Day,near navarretia
NALE,Navarretia leucocephala Benth.,whitehead navarretia
NALEM,Navarretia leucocephala Benth. ssp. minima (Nutt.) Day,least navarretia
NASA3,Navarretia saximontana S.C. Spencer,Rocky Mountain Pincushion-Plant
NEBR,Nemophila breviflora A. Gray,basin nemophila
NEME,Nemophila menziesii Hook. & Arn.,baby blue eyes
NEMEI,Nemophila menziesii Hook. & Arn. var. integrifolia Parish,baby blue eyes
NEHU2,Neotorularia humilis (C.A. Mey.) Hedge & J. Léonard,low northern-rockcress
NEGR3,Nepeta grandiflora M. Bieb.,Caucasus catmint
NERA2,Nepeta racemosa Lam.,raceme catnip
NIAT,Nicotiana attenuata Torr. ex S. Watson,coyote tobacco
NOFE3,Noccaea fendleri (A. Gray) Holub,Fendler's pennycress
NOFEG,Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch,alpine pennycress
NOPA5,Noccaea parviflora (A. Nelson) Holub,meadow pennycress
NOCU,Nothocalais cuspidata (Pursh) Greene,prairie false dandelion
NONI,Nothocalais nigrescens (L.F. Hend.) A. Heller,speckled false dandelion
NOTR2,Nothocalais troximoides (A. Gray) Greene,sagebrush false dandelion
NULUP,Nuphar lutea (L.) Sm. ssp. polysepala (Engelm.) E.O. Beal,Rocky Mountain pond-lily
OEAL,Oenothera albicaulis Pursh,whitest evening primrose
OECA10,Oenothera caespitosa Nutt.,tufted evening primrose
OECAC2,Oenothera caespitosa Nutt. ssp. caespitosa ,tufted evening primrose
OECAM3,Oenothera caespitosa Nutt. ssp. macroglottis (Rydb.) W.L. Wagner,tufted evening primrose
OECAM4,Oenothera caespitosa Nutt. ssp. marginata (Nutt. ex Hook. & Arn.) Munz,tufted evening primrose
OECA3,Oenothera canescens Torr. & Frém.,spotted evening primrose
OECO,Oenothera coloradensis (Rydb.) W.L. Wagner & Hoch,Colorado beeblossom
OECOC,Oenothera coloradensis (Rydb.) W.L. Wagner & Hoch ssp. coloradensis ,Colorado butterfly plant
OECO2,Oenothera coronopifolia Torr. & A. Gray,crownleaf evening primrose
OEEL,Oenothera elata Kunth,Hooker's evening primrose
OEELH,Oenothera elata Kunth ssp. hirsutissima (A. Gray ex S. Watson) W. Dietr.,Hooker's evening primrose
OEFL,Oenothera flava (A. Nelson) Garrett,yellow evening primrose
OEFLF,Oenothera flava (A. Nelson) Garrett ssp. flava ,yellow evening primrose
OEHO2,Oenothera howardii (A. Nelson) W.L. Wagner,Howard's evening primrose
OELA2,Oenothera latifolia (Rydb.) Munz,mountain evening primrose
OEMA,Oenothera macrocarpa Nutt.,bigfruit evening primrose
OEMAM,Oenothera macrocarpa Nutt. ssp. macrocarpa ,bigfruit evening primrose
OENU,Oenothera nuttallii Sweet,Nuttall's evening primrose
OEPA,Oenothera pallida Lindl.,pale evening primrose
OEPAP,Oenothera pallida Lindl. ssp. pallida ,pale evening primrose
OEPAT,Oenothera pallida Lindl. ssp. trichocalyx (Nutt.) Munz & W. Klein,pale evening primrose
OESU3,Oenothera suffrutescens (Ser.) W.L. Wagner & Hoch,scarlet beeblossom
OEVIS,Oenothera villosa Thunb. ssp. strigosa (Rydb.) W. Dietr. & P.H. Raven,hairy evening primrose
OLRIH,Oligoneuron rigidum (L.) Small var. humile (Porter) G.L. Nesom,stiff goldenrod
ONVI,Onobrychis viciifolia Scop.,sainfoin
ONAC,Onopordum acanthium L.,Scotch cottonthistle
OOFO,Oonopsis foliosa (A. Gray) Greene,leafy false goldenweed
OOFOF,Oonopsis foliosa (A. Gray) Greene var. foliosa ,leafy false goldenweed
OOMU,Oonopsis multicaulis (Nutt.) Greene,branched false goldenweed
OOWA,Oonopsis wardii (A. Gray) Greene,Ward's false goldenweed
OPPU3,Ophioglossum pusillum Raf.,northern adderstongue
OPFR,Opuntia fragilis (Nutt.) Haw.,brittle pricklypear
OPMA2,Opuntia macrorhiza Engelm.,twistspine pricklypear
OPMAM3,Opuntia macrorhiza Engelm. var. macrorhiza ,twistspine pricklypear
OPPO,Opuntia polyacantha Haw.,plains pricklypear
OPPOP,Opuntia polyacantha Haw. var. polyacantha ,hairspine pricklypear
ORPA3,Oreochrysum parryi (A. Gray) Rydb.,Parry's goldenrod
ORAL4,Oreostemma alpigenum (Torr. & A. Gray) Greene,tundra aster
ORALH,Oreostemma alpigenum (Torr. & A. Gray) Greene var. haydenii (Porter) G.L. Nesom,tundra aster
ORAL,Oreoxis alpina (A. Gray) J.M. Coult. & Rose,alpine oreoxis
ORALA,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina ,alpine oreoxis
ORCO5,Orobanche corymbosa (Rydb.) Ferris,flat-top broomrape
ORCOC3,Orobanche corymbosa (Rydb.) Ferris ssp. corymbosa ,flat-top broomrape
ORFA,Orobanche fasciculata Nutt.,clustered broomrape
ORLU,Orobanche ludoviciana Nutt.,Louisiana broomrape
ORLUL2,Orobanche ludoviciana Nutt. ssp. ludoviciana ,Louisiana broomrape
ORLUM,Orobanche ludoviciana Nutt. ssp. multiflora (Nutt.) T.S. Collins ex H.L. White & W.C. Holmes,manyflower broomrape
ORLI,Orogenia linearifolia S. Watson,Great Basin Indian potato
ORSE,Orthilia secunda (L.) House,sidebells wintergreen
ORLU2,Orthocarpus luteus Nutt.,yellow owl's-clover
ORTE2,Orthocarpus tenuifolius (Pursh) Benth.,thinleaved owl's-clover
ORTO,Orthocarpus tolmiei Hook. & Arn.,Tolmie's owl's-clover
ORTOT,Orthocarpus tolmiei Hook. & Arn. ssp. tolmiei ,Tolmie's owl's-clover
ORAS,Oryzopsis asperifolia Michx.,roughleaf ricegrass
OSBE,Osmorhiza berteroi DC.,sweetcicely
OSDE,Osmorhiza depauperata Phil.,bluntseed sweetroot
OSOC,Osmorhiza occidentalis (Nutt. ex Torr. & A. Gray) Torr.,western sweetroot
OXAL,Oxalis albicans Kunth,radishroot woodsorrel
OXALA,Oxalis albicans Kunth ssp. albicans ,radishroot woodsorrel
OXFE,Oxypolis fendleri (A. Gray) A. Heller,Fendler's cowbane
OXDI3,Oxyria digyna (L.) Hill,alpine mountainsorrel
OXDE,Oxytheca dendroidea Nutt.,narrowleaf oxytheca
OXBE2,Oxytropis besseyi (Rydb.) Blank.,Bessey's locoweed
OXBEB,Oxytropis besseyi (Rydb.) Blank. var. besseyi ,Bessey's locoweed
OXBEF,Oxytropis besseyi (Rydb.) Blank. var. fallax Barneby,Bessey's locoweed
OXBEO,Oxytropis besseyi (Rydb.) Blank. var. obnapiformis (Ced. Porter) S.L. Welsh,Bessey's locoweed
OXBEV,Oxytropis besseyi (Rydb.) Blank. var. ventosa (Greene) Barneby,Bessey's locoweed
OXBO,Oxytropis borealis DC.,boreal locoweed
OXBOV,Oxytropis borealis DC. var. viscida (Nutt.) S.L. Welsh,viscid locoweed
OXCA4,Oxytropis campestris (L.) DC.,field locoweed
OXCAC3,Oxytropis campestris (L.) DC. var. cusickii (Greenm.) Barneby,Cusick's locoweed
OXCAS3,Oxytropis campestris (L.) DC. var. spicata Hook.,field locoweed
OXDE2,Oxytropis deflexa (Pall.) DC.,nodding locoweed
OXDEF,Oxytropis deflexa (Pall.) DC. var. foliolosa (Hook.) Barneby,nodding locoweed
OXDES,Oxytropis deflexa (Pall.) DC. var. sericea Torr. & A. Gray,blue nodding locoweed
OXLA2,Oxytropis lagopus Nutt.,haresfoot locoweed
OXLAA,Oxytropis lagopus Nutt. var. atropurpurea (Rydb.) Barneby,haresfoot locoweed
OXLAL,Oxytropis lagopus Nutt. var. lagopus ,haresfoot locoweed
OXLA3,Oxytropis lambertii Pursh,purple locoweed
OXLAB,Oxytropis lambertii Pursh var. bigelovii A. Gray,purple locoweed
OXLAL2,Oxytropis lambertii Pursh var. lambertii ,purple locoweed
OXMO2,Oxytropis monticola A. Gray,yellowflower locoweed
OXMU,Oxytropis multiceps Nutt.,Nuttall's oxytrope
OXNA,Oxytropis nana Nutt.,Wyoming locoweed
OXPA2,Oxytropis parryi A. Gray,Parry's oxytrope
OXPO,Oxytropis podocarpa A. Gray,stalkpod locoweed
OXRI80,Oxytropis riparia Litv.,Oxus locoweed
OXSE,Oxytropis sericea Nutt.,white locoweed
OXSES,Oxytropis sericea Nutt. var. sericea ,white locoweed
OXSES2,Oxytropis sericea Nutt. var. speciosa (Torr. & A. Gray) S.L. Welsh,white locoweed
OXSP,Oxytropis splendens Douglas ex Hook.,showy locoweed
PACA15,Packera cana (Hook.) W.A. Weber & Á. Löve,woolly groundsel
PACR5,Packera crocata (Rydb.) W.A. Weber & Á. Löve,saffron ragwort
PADE22,Packera debilis (Nutt.) W.A. Weber & Á. Löve,weak groundsel
PADI11,Packera dimorphophylla (Greene) W.A. Weber & Á. Löve,splitleaf groundsel
PADID3,Packera dimorphophylla (Greene) W.A. Weber & Á. Löve var. dimorphophylla ,splitleaf groundsel
PADIP2,Packera dimorphophylla (Greene) W.A. Weber & Á. Löve var. paysonii (T.M. Barkley) D.K. Trock & T.M. Barkley,Payson's groundsel
PAFE4,Packera fendleri (A. Gray) W.A. Weber & Á. Löve,Fendler's ragwort
PAIN11,Packera indecora (Greene) Á. Löve & D. Löve,elegant groundsel
PAMU11,Packera multilobata (Torr. & A. Gray ex A. Gray) W.A. Weber & Á. Löve,lobeleaf groundsel
PAPA19,Packera pauciflora (Pursh) Á. Löve & D. Löve,alpine groundsel
PAPL12,Packera plattensis (Nutt.) W.A. Weber & Á. Löve,prairie groundsel
PAPS5,Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve,falsegold groundsel
PAPSF,Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve var. flavula (Greene) D.K. Trock & T.M. Barkley,falsegold groundsel
PAPSP2,Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve var. pseudaurea ,falsegold groundsel
PAST10,Packera streptanthifolia (Greene) W.A. Weber & Á. Löve,Rocky Mountain groundsel
PASU40,Packera subnuda (DC.) D.K. Trock & T.M. Barkley,Buek's groundsel
PATR7,Packera tridenticulata (Rydb.) W.A. Weber & Á. Löve,threetooth ragwort
PAWE4,Packera werneriifolia (A. Gray) W.A. Weber & Á. Löve,hoary groundsel
PABR,Paeonia brownii Douglas ex Hook.,Brown's peony
PARO,Palafoxia rosea (Bush) Cory,rosy palafox
PAROM,Palafoxia rosea (Bush) Cory var. macrolepis (Rydb.) B.L. Turner & Morris,rosy palafox
PARA11,Papaver radicatum Rottb.,rooted poppy
PARAK,Papaver radicatum Rottb. ssp. kluanense (D. Löve) D.F. Murray,rooted poppy
PASO2,Papaver somniferum L.,opium poppy
PAFI3,Parnassia fimbriata K.D. Koenig,fringed grass of Parnassus
PAFIF,Parnassia fimbriata K.D. Koenig var. fimbriata ,fringed grass of Parnassus
PAKO3,Parnassia kotzebuei Cham. ex Spreng.,Kotzebue's grass of Parnassus
PAPA8,Parnassia palustris L.,marsh grass of Parnassus
PAPAM2,Parnassia palustris L. var. montanensis (Fernald & Rydb. ex Rydb.) C.L. Hitchc.,mountain grass of Parnassus
PAPAP2,Parnassia palustris L. var. parviflora (DC.) B. Boivin,smallflower grass of Parnassus
PAPAT,Parnassia palustris L. var. tenuis Wahlenb.,marsh grass of Parnassus
PADE4,Paronychia depressa (Torr. & A. Gray) Nutt. ex A. Nelson,spreading nailwort
PAJA,Paronychia jamesii Torr. & A. Gray,James' nailwort
PAPU2,Paronychia pulvinata A. Gray,Rocky Mountain nailwort
PASE,Paronychia sessiliflora Nutt.,creeping nailwort
PANU5,Parrya nudicaulis (L.) Regel,nakedstem wallflower
PAAL6,Parthenium alpinum (Nutt.) Torr. & A. Gray,alpine feverfew
PAVI5,Parthenocissus vitacea (Knerr) Hitchc.,woodbine
PASA2,Pastinaca sativa L.,wild parsnip
PAMY,Paxistima myrsinites (Pursh) Raf.,Oregon boxleaf
PEAN,Pectis angustifolia Torr.,lemonscent
PEANA,Pectis angustifolia Torr. var. angustifolia ,narrowleaf pectis
PEPE26,Pectocarya penicillata (Hook. & Arn.) A. DC.,sleeping combseed
PEBR,Pedicularis bracteosa Benth.,bracted lousewort
PEBRP2,Pedicularis bracteosa Benth. var. paysoniana (Pennell) Cronquist,Payson's lousewort
PECO,Pedicularis contorta Benth.,coiled lousewort
PECOC2,Pedicularis contorta Benth. var. contorta ,coiled lousewort
PECOC,Pedicularis contorta Benth. var. ctenophora (Rydb.) A. Nelson & J.F. Macbr.,coiled lousewort
PECR,Pedicularis crenulata Benth.,meadow lousewort
PECY5,Pedicularis cystopteridifolia Rydb.,fernleaved pedicularis
PEGR2,Pedicularis groenlandica Retz.,elephanthead lousewort
PEOE,Pedicularis oederi Vahl ex Hornem.,Oeder's lousewort
PEPA3,Pedicularis parryi A. Gray,Parry's lousewort
PEPAM4,Pedicularis parryi A. Gray ssp. mogollonica (Greene) G.D. Carr,Mogollon lousewort
PEPAP4,Pedicularis parryi A. Gray ssp. parryi ,Parry's lousewort
PEPAP5,Pedicularis parryi A. Gray ssp. purpurea (Parry) G.D. Carr,Rocky Mountain lousewort
PEPR7,Pedicularis procera A. Gray,giant lousewort
PEPU10,Pedicularis pulchella Pennell,mountain lousewort
PERA,Pedicularis racemosa Douglas ex Benth.,sickletop lousewort
PERAA,Pedicularis racemosa Douglas ex Benth. ssp. alba Pennell,sickletop lousewort
PESU,Pedicularis sudetica Willd.,sudetic lousewort
PESUS2,Pedicularis sudetica Willd. ssp. scopulorum (A. Gray) Hultén,sudetic lousewort
PESI,Pediocactus simpsonii (Engelm.) Britton & Rose,mountain ball cactus
PESIM,Pediocactus simpsonii (Engelm.) Britton & Rose var. minor (Engelm.) Cockerell,mountain ball cactus
PESIS,Pediocactus simpsonii (Engelm.) Britton & Rose var. simpsonii ,mountain ball cactus
PEAR6,Pediomelum argophyllum (Pursh) J. Grimes,silverleaf Indian breadroot
PEDI9,Pediomelum digitatum (Nutt. ex Torr. & A. Gray) Isely,palmleaf Indian breadroot
PEES,Pediomelum esculentum (Pursh) Rydb.,large Indian breadroot
PEHY4,Pediomelum hypogaeum (Nutt. ex Torr. & A. Gray) Rydb.,subterranean Indian breadroot
PEHYH,Pediomelum hypogaeum (Nutt. ex Torr. & A. Gray) Rydb. var. hypogaeum ,subterranean Indian breadroot
PELI10,Pediomelum linearifolium (Torr. & A. Gray) J. Grimes,narrowleaf Indian breadroot
PEBR4,Pellaea breweri D.C. Eaton,Brewer's cliffbrake
PEGA5,Pellaea gastonyi Windham,Gastony's cliffbrake
PEGL,Pellaea glabella Mett. ex Kuhn,smooth cliffbrake
PEGLO3,Pellaea glabella Mett. ex Kuhn ssp. occidentalis (E.E. Nelson) Windham,western dwarf cliffbrake
PEGLS3,Pellaea glabella Mett. ex Kuhn ssp. simplex (Butters) Á. Löve & D. Löve,smooth cliffbrake
PEAB2,Penstemon absarokensis Evert,Absaroka Range beardtongue
PEAC3,Penstemon acaulis L.O. Williams,stemless beardtongue
PEAL2,Penstemon albidus Nutt.,white penstemon
PEAM,Penstemon ambiguus Torr.,gilia beardtongue
PEAML2,Penstemon ambiguus Torr. var. laevissimus (D.D. Keck) N.H. Holmgren,pink plains beardtongue
PEAN4,Penstemon angustifolius Nutt. ex Pursh,broadbeard beardtongue
PEANA2,Penstemon angustifolius Nutt. ex Pursh var. angustifolius ,broadbeard beardtongue
PEANC,Penstemon angustifolius Nutt. ex Pursh var. caudatus (A. Heller) Rydb.,broadbeard beardtongue
PEAR,Penstemon arenicola A. Nelson,sand penstemon
PEAR2,Penstemon aridus Rydb.,stiffleaf penstemon
PEAT3,Penstemon attenuatus Douglas ex Lindl.,sulphur penstemon
PEATP5,Penstemon attenuatus Douglas ex Lindl. var. pseudoprocerus (Rydb.) Cronquist,small penstemon
PECA4,Penstemon caespitosus Nutt. ex A. Gray,mat penstemon
PECAC4,Penstemon caespitosus Nutt. ex A. Gray var. caespitosus ,mat penstemon
PECA17,Penstemon caryi Pennell,Cary's beardtongue
PECY2,Penstemon cyananthus Hook.,Wasatch beardtongue
PECYC2,Penstemon cyananthus Hook. var. cyananthus ,Wasatch beardtongue
PECYS2,Penstemon cyananthus Hook. var. subglaber (A. Gray) N.H. Holmgren,Wasatch beardtongue
PECY3,Penstemon cyaneus Pennell,blue penstemon
PECY6,Penstemon cyathophorus Rydb.,sagebrush beardtongue
PEDE4,Penstemon deustus Douglas ex Lindl.,scabland penstemon
PEDED2,Penstemon deustus Douglas ex Lindl. var. deustus ,scabland penstemon
PEEA,Penstemon eatonii A. Gray,firecracker penstemon
PEEAE2,Penstemon eatonii A. Gray ssp. eatonii ,firecracker penstemon
PEEL5,Penstemon ellipticus J.M. Coult. & Fisher,rocky ledge penstemon
PEER,Penstemon eriantherus Pursh,fuzzytongue penstemon
PEERC,Penstemon eriantherus Pursh var. cleburnei (M.E. Jones) Dorn,Cleburn's penstemon
PEERE,Penstemon eriantherus Pursh var. eriantherus ,fuzzytongue penstemon
PEFR,Penstemon fremontii Torr. & A. Gray ex A. Gray,Fremont's beardtongue
PEFRF5,Penstemon fremontii Torr. & A. Gray ex A. Gray var. fremontii ,Fremont's beardtongue
PEFR3,Penstemon fruticosus (Pursh) Greene,bush penstemon
PEFRF4,Penstemon fruticosus (Pursh) Greene var. fruticosus ,bush penstemon
PEGI4,Penstemon gibbensii Dorn,Gibbens' beardtongue
PEGL3,Penstemon glaber Pursh,sawsepal penstemon
PEGLA,Penstemon glaber Pursh var. alpinus (Torr.) A. Gray,alpine sawsepal penstemon
PEGLG2,Penstemon glaber Pursh var. glaber ,sawsepal penstemon
PEGR5,Penstemon gracilis Nutt.,lilac penstemon
PEGRG3,Penstemon gracilis Nutt. var. gracilis ,lilac penstemon
PEGR7,Penstemon grandiflorus Nutt.,large beardtongue
PEHA12,Penstemon haydenii S. Watson,blowout beardtongue
PEHU,Penstemon humilis Nutt. ex A. Gray,low beardtongue
PEHUH,Penstemon humilis Nutt. ex A. Gray ssp. humilis ,low beardtongue
PELA9,Penstemon laricifolius Hook. & Arn.,larchleaf beardtongue
PELAE,Penstemon laricifolius Hook. & Arn. ssp. exilifolius (A. Nelson) D.D. Keck,larchleaf beardtongue
PELAL7,Penstemon laricifolius Hook. & Arn. ssp. laricifolius ,larchleaf beardtongue
PEMO4,Penstemon montanus Greene,cordroot beardtongue
PEMOM2,Penstemon montanus Greene var. montanus ,cordroot beardtongue
PENI3,Penstemon nitidus Douglas ex Benth.,waxleaf penstemon
PENIN,Penstemon nitidus Douglas ex Benth. var. nitidus ,waxleaf penstemon
PEPA6,Penstemon pachyphyllus A. Gray ex Rydb.,thickleaf beardtongue
PEPAM5,Penstemon pachyphyllus A. Gray ex Rydb. var. mucronatus (N.H. Holmgren) Neese,mucronate penstemon
PEPA8,Penstemon palmeri A. Gray,Palmer's penstemon
PEPAP9,Penstemon palmeri A. Gray var. palmeri ,Palmer's penstemon
PEPA30,Penstemon paysoniorum D.D. Keck,Payson's beardtongue
PEPR2,Penstemon procerus Douglas ex Graham,littleflower penstemon
PEPRP,Penstemon procerus Douglas ex Graham var. procerus ,pincushion beardtongue
PERA2,Penstemon radicosus A. Nelson,matroot penstemon
PERY,Penstemon rydbergii A. Nelson,Rydberg's penstemon
PERYA,Penstemon rydbergii A. Nelson var. aggregatus (Pennell) N.H. Holmgren,meadow beardtongue
PERYR,Penstemon rydbergii A. Nelson var. rydbergii ,swollen penstemon
PESA2,Penstemon saxosorum Pennell,upland beardtongue
PESC5,Penstemon scariosus Pennell,White River beardtongue
PESCG,Penstemon scariosus Pennell var. garrettii (Pennell) N.H. Holmgren,Garrett's beardtongue
PESE11,Penstemon secundiflorus Benth.,sidebells penstemon
PEST2,Penstemon strictus Benth.,Rocky Mountain penstemon
PESU2,Penstemon subglaber Rydb.,smooth penstemon
PEUN,Penstemon unilateralis Rydb.,oneside penstemon
PEVI3,Penstemon virens Pennell ex Rydb.,Front Range beardtongue
PEWA,Penstemon watsonii A. Gray,Watson's penstemon
PEWH,Penstemon whippleanus A. Gray,Whipple's penstemon
PEBO2,Perideridia bolanderi (A. Gray) A. Nelson & J.F. Macbr.,Bolander's yampah
PEBOB,Perideridia bolanderi (A. Gray) A. Nelson & J.F. Macbr. ssp. bolanderi ,Bolander's yampah
PEGA3,Perideridia gairdneri (Hook. & Arn.) Mathias,Gardner's yampah
PEGAB,Perideridia gairdneri (Hook. & Arn.) Mathias ssp. borealis T.I. Chuang & Constance,common yampah
PEFR5,Petasites frigidus (L.) Fr.,arctic sweet coltsfoot
PEFRS5,Petasites frigidus (L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky,arrowleaf sweet coltsfoot
PEPU7,Petradoria pumila (Nutt.) Greene,rock goldenrod
PEPUP,Petradoria pumila (Nutt.) Greene ssp. pumila ,rock goldenrod
PECA12,Petrophytum caespitosum (Nutt.) Rydb.,mat rockspirea
PECAC2,Petrophytum caespitosum (Nutt.) Rydb. var. caespitosum ,mat rockspirea
PHAL9,Phacelia alba Rydb.,white phacelia
PHDE,Phacelia demissa A. Gray,Intermountain phacelia
PHDED,Phacelia demissa A. Gray var. demissa ,Intermountain phacelia
PHDE2,Phacelia denticulata Osterh.,Rocky Mountain phacelia
PHFR,Phacelia franklinii (R. Br.) A. Gray,Franklin's phacelia
